Country Name,Olympic Year,Olympic Season,Announcement,ShareGDP,CAR,Sigma
Canada,1988,Winter,9/273/1981,0.03,-0.0066,0.0157035
South Korea,1988,Summer,9/273/1981,0.01,0.05221,0.03295105
France,1992,Winter,10/290/1986,0.05,0.00642,0.03290705
Spain,1992,Summer,10/290/1986,0.02,-0.0518,0.03315925
Norway,1994,Winter,9/259/1988,0.01,0.04054,0.04965183
USA,1996,Summer,9/261/1990,0.24,0.00415,0.01973322
Japan,1998,Winter,6/166/1991,0.12,-0.0114,0.03382088
Australia,2000,Summer,9/266/1993,0.02,0.01582,0.01811629
USA,2002,Winter,6/167/1995,0.25,0.01005,0.01172177
Greece,2004,Summer,9/248/1997,0.01,0.06142,0.04312285
Italy,2006,Winter,6/170/1999,0.04,-0.0022,0.03782888
China,2008,Summer,7/194/2001,0.05,0.00493,0.02178532
Canada,2010,Winter,7/183/2003,0.03,0.00491,0.01558846
UK,2012,Summer,7/187/2005,0.04,-0.0002,0.01117139
Russia,2014,Winter,7/185/2007,0.02,0.01978,0.03315491
Brazil,2016,Summer,10/275/2009,0.03,0.01317,0.04415656
South Korea,2018,Winter,7/187/2011,0.02,-0.0106,0.01982423
Japan,2020,Summer,9/250/2013,0.08,0.00486,0.03948681
China,2022,Winter,7/212/2015,0.12,-0.0123,0.04116302
