,,,,,,Event Window,,"[0,1]","[0,2]","[0,5]","[0,9]","[-2,2]","[-5,5]","[-5,-1]","[-2,-1]"
,,,,,,,,0,0,0,0,-2,-5,-5,-2
,,,,,,,,1,2,5,9,2,5,-1,-1
Country Name,Olympic Year,Olympic Season,City Size,Announcement Date,Index Used,Original Paper,$\hat{\sigma}_{\epsilon_i}$,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR
Sweden,1988,Winter,Big,9/30/1981,AFFARSVARLDEN GENERAL INDEX,Yes,7.40E-05,0.0130662,0.0086012,0.0274377,0.0465694,-0.021795,-0.0066079,-0.0340456,-0.0303962
Italy,1988,Winter,Small,9/30/1981,ITALY-DS Market,Yes,0.000794171,0.0148769,0.0013242,-0.0406723,-0.099563,-0.0207982,0.0055268,0.0461991,-0.0221224
Japan,1988,Summer,Small,9/30/1981,NIKKEI 225 STOCK AVERAGE,Yes,3.11E-05,-0.0000625,-0.0024533,0.0127529,0.0147335,-0.0059587,-0.0002834,-0.0130363,-0.0035054
Sweden,1992,Winter,Big,10/17/1986,AFFARSVARLDEN GENERAL INDEX,Yes,0.000135328,-0.0032867,-0.0152696,-0.0063441,0.0059485,-0.0279795,-0.0404429,-0.0340988,-0.0127099
Norway,1992,Winter,Big,10/17/1986,OSEBX.OL,Yes,9.48E-05,0.0111531,0.010311,0.00825,0.0060655,-0.0003277,0.0142065,0.0059565,-0.0106387
Italy,1992,Winter,Small,10/17/1986,ITALY-DS Market,Yes,0.000395843,0.0107041,0.010451,-0.0056546,-0.0380841,0.0204156,0.0119774,0.017632,0.0099645
USA,1992,Winter,Small,10/17/1986,S&P 500,Yes,3.00E-05,0.0031578,0.0120204,0.040119,0.0382785,0.0344794,0.0683741,0.0282551,0.0224589
Germany,1992,Winter,Small,10/17/1986,DAX 30 PERFORMANCE,Yes,0.000199494,-0.0139792,-0.0033673,0.0164815,-0.0048039,-0.0111774,0.0048895,-0.011592,-0.0078101
France,1992,Summer,Big,10/17/1986,CAC General,Yes,0.000180479,-0.0326133,-0.0331559,0.006416,-0.0082583,-0.0648061,-0.0299568,-0.0363728,-0.0316502
Australia,1992,Summer,Small,10/17/1986,All Ordinaries,Yes,7.20E-05,0.0046799,0.0124496,0.0031127,0.0026696,0.0134235,0.0115549,0.0084422,0.0009738
UK,1992,Summer,Small,10/17/1986,FTSE 100,Yes,6.28E-05,-0.000556,0.0045139,0.004202,0.0161388,0.0145829,0.0077954,0.0035934,0.010069
Netherlands,1992,Summer,Big,10/17/1986,AEX INDEX (AEX) DS-CALC,Yes,8.28E-05,0.0008931,0.0050363,0.0140186,0.0044677,0.0104901,-0.0030481,-0.0170667,0.0054538
Sweden,1994,Winter,Big,9/15/1988,AFFARSVARLDEN GENERAL INDEX,Yes,0.00022004,-0.0049478,0.0052671,0.0344994,0.0204944,0.0056865,0.0457938,0.0112943,0.0004194
